produto,categoria,quantidade,venda,data,total
Camiseta Básica,Vestuário,10,150,2025-01-20,1500
Notebook Dell Inspiron,Eletrônicos,2,8000,2025-01-21,16000
Cadeira Gamer,Móveis,5,2500,2025-01-22,12500
Smartphone Samsung Galaxy,Eletrônicos,3,4500,2025-01-23,13500
Tênis Nike Air,Calçados,7,1750,2025-01-24,12250
Copo Térmico,Utilidades Domésticas,15,375,2025-01-24,5625
Relógio Smartwatch,Acessórios,4,1200,2025-01-25,4800
Bola de Futebol,Esportes,8,800,2025-01-25,6400
Livros de Ficção,Livros,12,480,2025-01-26,5760
Mesa de Escritório,Móveis,1,900,2025-01-26,900
Fone de Ouvido Bluetooth,Eletrônicos,6,1800,2025-01-27,10800
Cafeteira Elétrica,Eletrodomésticos,3,900,2025-01-27,2700
Mochila Executiva,Acessórios,9,1350,2025-01-28,12150
Guarda-Chuva,Utilidades Domésticas,20,400,2025-01-28,8000
Monitor 24 Polegadas,Eletrônicos,4,3600,2025-01-29,14400
Sapato Social,Calçados,5,1250,2025-01-29,6250
Mousepad Gamer,Acessórios,15,450,2025-01-30,6750
Chave de Fenda,Ferramentas,25,625,2025-01-30,15625
Espelho Decorativo,Decoração,3,600,2025-01-31,1800
Tapete de Sala,Decoração,2,800,2025-01-31,1600
